Titel;Nøgle
EB Indkomst Samlever – Samlet efter evt bundfradrag;tafEbIndkomstSamleverSamletEfterEvtBundfradrag
EB Indkomst Samlet efter evt bundfradrag, pensionstillæg;tafEbIndkomstSamletEfterEvtBundfradragPensionstillaeg
EB Pensionstillæg nedsat med brøkpension;tabEbPensionstillNedsatMedBroekpension
tB10A_EbSKATArbejdsindkomst;tB10A_EbSKATArbejdsindkomst
tB10A_EbSKATPersIndkomstUdoverSocPen;tB10A_EbSKATPersIndkomstUdoverSocPen
tB10A_EbSKATKapitalindkomst;tB10A_EbSKATKapitalindkomst
tB10A_EbSKATAktieindkomstmv;tB10A_EbSKATAktieindkomstmv
tB10A_EbEjSKATArbejdsindkomst;tB10A_EbEjSKATArbejdsindkomst
tB10A_EbEjSKATPersIndkomstUdoverSocPen;tB10A_EbEjSKATPersIndkomstUdoverSocPen
tB10A_EbEjSKATKapitalindkomst;tB10A_EbEjSKATKapitalindkomst
tB10A_EbEjSKATAktieindkomstmv;tB10A_EbEjSKATAktieindkomstmv
Disp. dato;af-disp-dato
tafOpgperiodeAntalMaaned;tafOpgperiodeAntalMaaned
TOpgørelsesperiode Slutdato;tafOpgoerelsesperiodeSlutdato
TOpgørelsesperiode på en måned;tabOpgperiodeEnMaaned
Opgørelsesperiode skæv;tabOpgoerelsesperiodeSkaev
Udbetaling, seneste efterregulering krav;ab-udbetaling-seneste-efterregulering-krav
TOpgørelsesperiode slutter ikke 31/12;tabOpgoerelsesperiodeSlutterIkke3112
Afdrag Debitor;af-afdrag-debitor
Afdrag debitor;ab-afdrag-debitor
Vejnavn og nr;vejnavn-og-nr
TVejnavn og nr;tafAdresseVejnavnOgNr
Opgørelsesperiode - slutdato;tafOpgperiodeSlutdato
Aftalenr Debitor;af-aftalenr-debitor 
Timer - system forrige periode;af-udskudt-timer-system
Ingen indkomst borger, B101;tabIngenIndkomstBorgerB101
Ingen indkomst samlever, B101;tabIngenIndkomstSamleverB101
Varmetillæg i efterbetalingsperioden;ab-varmetillaeg-i-efterbetalingsperioden
Pensionist - Fradrag udbetalt folkepension og ATP;af-pensionist-fradrag-udbetalt-fop
Samlever - Fradrag udbetalt folkepension og ATP;af-samlever-fradrag-udbetalt-fop
ATP Pensionist andel mdl - ATP Disp Dato1;af-pensionist-andel-mdl-atp-disp-dato1
SUPP Pensionist andel mdl - ATP disp dato;af-supp-pensionist-andel-mdl-atp-disp-dato1
SUPP Pensionist andel mdl - SUPP disp dato1;af-supp-pensionist-andel-mdl-supp-disp-dato1
ATP Pensionist andel regulering - SUPP Disp Dato1;af-atp-pensionist-andel-mdl-supp-disp-dato1
Sidste dag i seneste udbetalingsmåned;af-sidste-dag-i-seneste-udb-md
tafDatoSidsteDagISenestUdbmaaned;tafDatoSidsteDagISenestUdbmaaned
Sidste dag i seneste udbetalingsmåned;tafDatoSidsteDagISenesteUdbetalingsmaaned
Sidste dag i seneste udbetalingsmåned;tafSidsteDagSenesteUdbMaaned
Sidste dag i seneste udbetalingsmåned;tafDatoSidsteDagSenesteUdbmaaned
Samlever har en aktiv varmetillægssag;ab-samlever-har-en-aktiv-varmetillaegssag
Samlevers pensionstypeart;af-samlevers-pensionstypeart
Varmetillæg Opgørelsesperiode Startdato;tafVarmetillaegOpgoerelseStartdato 
Opgørelsesperiode Seneste startdato;tafOpgoerelsesperiodeSenesteStartdato 
Tidl for senest udbetalte periode;tafVarmetillaegTidlUdbetaltSenesteOpgoerelsesperiodeIndtilNu 
Varmetillæg - Mdl - Efter indregning disp.dato2;af-mdl-efter-indregning-varmetill-disp-dato2
AB-samlever-folkepensionist;ab-samlever-folkepensionist
Disp.dato 2.udbetaling;af-disp-dato-2-udb
Navn afdød pensionistsamlever;af-navn-afdoed-pensionistsamlever
CPR forkortet;af-cpr-forkortet
Ændring i indeværende år henstår;ab-aendring-i-indev-aar-henstaar
Ændring tilbage i tidligere år, efterregulering ikke kørt;ab-aendring-tilb-i-tidl-aar-efterreg-ikke-koert
Ændring tilbage i tidligere år, efterregulering ikke kørt plus for indeværende år henstår;ab-aendring-tilb-i-tidl-aar-efterreg-ikke-koert-plus-for-indev-aar-henstaar
Er det en seniorpensionssag?;mb-er-det-en-seniorpensionssag
Opgørelsesperiode startdato ny 2;af-opgoerelsesperiode-startdato-ny-2
tafNavnSamleversFornavn ;tafNavnSamleversFornavn 
tafNavnSamleversEfternavn ;tafNavnSamleversEfternavn 
TA - b102a_1 (skattepligtige ydelser);b102a_1
Skattepligtige bevilget ydelser for samlever;ab-skattepligtige-bevig-ydelser-samlever
TA - B102a_2 (skattefri ydelser);b102a_2
Skattefritagelse samlever;ab-skattefritagelse-samlever
Samlet brutto samlever;af-samlet-brutto-samlever
Trækprocent samlever;af-traekprocent-samlever
Månedsfradrag samlever;af-maanedsfradrag-samlever
A-skat samlever;af-askat-samlever
Ikke skattepligtige bevilgede ydelser samlever;ab-ej-skattepligtige-bevig-ydelser-samlever
Netto samlever;af-netto-samlever
TA - b102a_1_Eng (skattepligtige ydelser - engelsk);b102a_1_Eng
b102a_2_Eng;b102a_2_Eng
MF - Udenlandsk personnummer;mf-udenlandsk-personnummer
Navn samlevers navn ;af-navn-samlevers-navn
 Bopælsår ;bopaelsaar
Tilgodehavende pension fra afdød ægtefælle;ab-tilgodehavende-pension-fra-afdoed-aegtefaelle
Pensionstillæg indregning;tabPenstillIndregning
Grundbeløb indregning;tabGrundbeloebIndregning
Førtidspension indregning;tabFOEPIndregning
Pensionstillæg ingen indregning;tabPenstillEjIndregning
Grundbeløb ingen indregning;tabGrundbeloebEjIndregning
Førtidspension ingen indregning;tabFOEPIngenIndregning
Efterbetaling skattepligtig;ab-efterbetaling-skattepligtig
Efterbetaling skattefri;ab-efterbetaling-skattefri
Efterbetaling skattepligtig atp disp dato 1;ab-efterbetaling-skattepligtig-atp-disp-dato-1
Efterbetaling skattefri atp disp. dato 1;ab-efterbetaling-skattefri-atp-disp-dato-1
tReguleringAtpDispDato1AfBevilgedeYdelser;tReguleringAtpDispDato1AfBevilgedeYdelser
tReguleringSuppDispDato1AfBevilgedeYdelser;tReguleringSuppDispDato1AfBevilgedeYdelser
tReguleringSuppDispDato1AfEjBevilgedeYdelser;tReguleringSuppDispDato1AfEjBevilgedeYdelser
Efterbetaling skattepligtig supp disp. dato 1;ab-efterbetaling-skattepligtig-supp-disp-dato-1
Efterbetaling skattefri supp disp. dato 1;ab-efterbetaling-skattefri-supp-disp-dato-1
t_Overgang_Foep_Til_Fop_En;t_Overgang_Foep_Til_Fop_En
Varmetillæg - Større end 0 kr. efter indregning;ab-varmetillaeg-stoerre-end-0-kr-efter-indregning
Varmetillæg - 0 kr pga indregning;ab-varmetillaeg-0-kr-pga-indregning
Ældrecheck er under 200 kr;ab-aeldrecheck-under-200kr
Dødsfald - Krav ikke skattepligtige bevilgede ydelser afdød;ab-doedsfald-krav-ikke-skattepligtige-bevilgede-ydelser-afdoed
Bopælstid - 15 år til FØP bevilling;af-bopaelstid-15-aar-til-foep-bevilling
Brevdato plus 8 dage;af-brevdato-plus-8-dage
Brevdato plus 9 dage;af-brevdato-plus-9-dage
Dødsfald - Afdød samlever forudbetalt;ab-afdoed-samlever-forud
Måneder Hele optjeningstiden = 1 måned;ab-bopaelstid-maaneder-hele-optjeningsperioden-er-1-maaned
Bopælstid - Dage Hele optjeningstiden = 1 dag;ab-bopaelstid-dage-hele-optjeningsperioden-er-1-dag
b3c_1;b3c_1
B102;B102
Formue gjort uoplyst i forbindelse med ændring af samlivsstatus;ab-formue-gjort-uoplyst-i-forbindelse-med-aendring-af-samlivsstatus
Førtidspension - Mellemste FØP uden overgangsregel;ab-foertidspension-mellemste-foep-uden-overgangsregel
Førtidspension - Højeste FØP uden overgangsregel ;ab-foertidspension-hoejeste-foep-uden-overgangsregel
Tilgode og evt. straksudbetaling er ikke kun sidste måneds pension;X-Tilgode og evt. straksudbetaling er ikke kun sidste måneds pension
Efterbetaling skattepligtig næste år;ab-efterbetaling-skattepligtig-naeste-aar
Efterbetaling skattefri næste år;ab-efterbetaling-skattefri-naeste-aar
Regulering af skattepligtige ydelser;ab-regulering-af-skattepligtige-ydelser
Regulering - B9 skal vises;ab-reg-B9-sektion-skal-vises
tReguleringAtpDispDato1AfEjBevilgedeYdelser;tReguleringAtpDispDato1AfEjBevilgedeYdelser
B202_2 ;B202_2
B202_6;B202_6
7 dage efter brevdato;af-7-dage-efter-brevdato
1.mulige udbetalingsdato efter brevfrist;af-1-mulige-udbetalingsdato-efter-brevfrist
MF - Skriv that you have told us eller that xx has informed us about;mf-skriv-that-you-have-told-us-eller-that-xx-has-informed-us-about
Alder i rest måneder ved overgang til FOP ;af-alder-rest-maaneder-overgang-fop
Alder i hele år ved overgang til FOP;af-udskudt-alder-overgang-fop
Middellevetid;af-middellevetid
Samlever bliver bevilget varmetillæg;ab-samlever-bliver-bevilget-varmetillaeg
Samlever er GL. FØP og oplyser formue til helbredstillæg;ab-samlever-er-gl-foep-og-oplyser-formue-til-helbredstillaeg
Der er optjent venteprocent;ab-der-er-optjent-venteprocent
Flygtningestatus;ab-flygtningestatus
TEfterbetaling Skattepligtig;tabEfterbetalingSkattepligtig
TEfterbetaling skattefri;tabEfterbetalingSkattefri
tReguleringAfBevilgedeYdelserB102;tReguleringAfBevilgedeYdelserB102
tReguleringAfEjBevilgedeYdelserB102;tReguleringAfEjBevilgedeYdelserB102
Bero hele året forud for genoptagelse og enlig 1.1;ab-bero-hele-aaret-forud-for-genoptagelse-og-enlig-1-1
Bero hele året forud for genoptagelse;ab-bero-hele-aaret-forud-for-genoptagelse
Samlever har oplyst indkomstændring ;ab-samlever-har-oplyst-indkomstaendring
Efterbetaling af SUPP/ATP på disp.dato1;ab-efterbetaling-supp-atp 
Efterbetaling af SUPP/ATP på SUPP disp.dato1;ab-efterbetaling-supp-disp-dato1-supp-atp
Efterbetaling af SUPP/ATP på ATP disp.dato1;ab-efterbetaling-atp-disp-dato1-supp-atp
tReguleringDispDato1AfAtpSupp;tReguleringDispDato1AfAtpSupp
tReguleringSuppDispDato1AfAtpSupp;tReguleringSuppDispDato1AfAtpSupp
tReguleringAtpDispDato1AfAtpSupp;tReguleringAtpDispDato1AfAtpSupp
ATP/SUPP-bidrag trækkes disp.dato1 næste år;ab-atp-supp-traekkes-disp-dato1-naeste-aar
Efterbetaling af SUPP/ATP på disp.dato1 næste år;ab-efterbetaling-disp-dato1-naeste-aar-supp-atp
Samlever ikke pensionist;ab-samlever-ikke-pensionist
B202_2_Eng;B202_2_Eng
B202_6_Eng;B202_6_Eng
tReguleringAfEjBevilgedeYdelserEng;tReguleringAfEjBevilgedeYdelserEng
tReguleringAfBevilgedeYdelserEng;tReguleringAfBevilgedeYdelserEng
AB- Samlever ikke pensionist på dødsfaldstidspunktet;ab-samlever-afdoed-ikke-pensionist
TEfterbetaling af SUPP/ATP på disp dato1;tabEfterbetalingSuppAtp
tReguleringDispDato1AfAtpSuppB102;tReguleringDispDato1AfAtpSuppB102
Efterbetaling af SUPP/ATP på disp.dato2;ab-efterbetaling-disp-dato2-supp-atp 
tReguleringDispDato2AfAtpSupp;tReguleringDispDato2AfAtpSupp
ATP disp dato1;ab-atp-disp-dato-1
ATP disp dato2;ab-atp-disp-dato-2
SUPP disp dato 1;ab-supp-disp-dato-1
SUPP disp dato2;ab-supp-disp-dato-2
TATP disp dato 1;tabAtpDispdato1
TSUPP Disp Dato 1;tabSuppDispDato1
Samlet mdl. pension beregning udskudt;tafSamletMdlPensionBeregningUdskudt
Samlet pension beregning udskudt;tafSamletPensionBeregningUdskudt
Borger har ret til pensionstillæg;tabBorgerHarRetTilPensionstillaeg 
EB Borger har ret til pensionstillæg;tabEbBorgerHarRetTilPensionstillaeg 
1318_2;1318_2
1316_1;1316_1
Pensionstillæg Brutto inkl indregning;tafPensionstillBruttoInklIndregning 
Grundbeløb Brutto inkl indregning;tafGrundbeloebBruttoInklIndregning
Førtidspension Brutto inkl indregning;tafFOEPBruttoInklIndregning
Pensionstillæg Brutto inkl indregning;tafPenstillBruttoInklIndregning
Varmetillæg Ekstra personers andel ;tafEkstraPersonerAndel
MF - Skriv samlet likvid formue;mf-skriv-samlet-likvid-formue
Varmetillæg Regulering forfalden indevær.opg.;ab-varmetillaeg-regulering-forfalden-indevaerende-opg
"Varmetillæg Reguleringsdato	";"af-varmetillaeg-reguleringsdato	"
Stop måneden ud;ab-stop-maaneden-ud
TTilgodehavende eller krav;tabTilgodehavendeEllerKrav
Straksudbetaling skattepligtig ikke forfalden;ab-straksudbetaling-skattepligtig-ikke-forfalden
Straksudbetaling skattefri ikke forfalden;ab-straksudbetaling-skattefri-ikke-forfalden
tStraksudbetalingSkattepligtigIkkeForfalden;tStraksudbetalingSkattepligtigIkkeForfalden
tStraksudbetalingSkattepligtigIkkeForfaldenEng;tStraksudbetalingSkattepligtigIkkeForfaldenEng
tStraksudbetalingSkattefriIkkeForfalden  ;tStraksudbetalingSkattefriIkkeForfalden  
tStraksudbetalingSkattefriIkkeForfaldenEng;tStraksudbetalingSkattefriIkkeForfaldenEng
Varmetillæg - Negativ indregning;ab-varmetillaeg-negativ-indregning
Varmetillæg - Positiv indregning;ab-varmetillaeg-positiv-indregning
Varmetillæg Manuel fraflytningsproces;ab-manuel-fraflytningproces
B100B_Udbetalt_eng;B100B_Udbetalt_eng
B100B_Udbetalt_EjSkattepligtig_eng;B100B_Udbetalt_EjSkattepligtig_eng
B100C_1_eng;B100C_1_eng
B100C_2_eng;B100C_2_eng
Bero hele året forud for genoptagelse;tabBeroHeleAaretForudForGenoptagelse
Modregning af debitorkrav, skattepligtigt;ab-modregning-af-debitorkrav-skattepligtigt
Tilgodehavende;ab-aendring-tilgodehavende
Ændring krav;ab-aendring-krav
Varmetillæg Tilgode;ab-varmetillaeg-tilgode
ab-tilbagebetaling-skat;Tilbagebetaling - skat
Modregning af debitorkrav, skattefrit;ab-modregning-af-debitorkrav-skattefrit
Beløb Samlet skattepl. positiv regulering brutto før modregning af evt. krav;af-samlet-skattepl-positiv-regulering-brutto-foer-modregning-af-evt-krav
Beløb Modregning debitorkrav, skattepligtigt;af-modregning-debitorkrav-skattepligtigt
Beløb Samlet skattepl. positiv regulering brutto efter modregning af krav;af-samlet-skattepl-positiv-regulering-brutto-efter-modregning-af-krav
Beløb Skattepl. regulering brutto indeværende år;af-skattepl-regulering-brutto-indevaerende-aar
SKAT Regulering indeværende år;af-regulering-indevaerende-aar
Beløb Samlet skattefri regulering før modregning af evt. krav;af-samlet-skattefri-regulering-foer-modregning-af-evt-krav
Beløb Modregning debitorkrav, skattefrit;af-modregning-debitorkrav-skattefrit
Beløb Samlet skattefri regulering efter modregning af krav;af-samlet-skattefri-regulering-efter-modregning-af-krav
B9_Opg;B9_Opg
B9_1;B9_1
B9_OpgEj;B9_OpgEj
B9_2;B9_2
B9_Opg_Eng;B9_Opg_Eng
B9_OpgEj_Eng;B9_OpgEj_Eng
TAF Opgørelsesperiode slutdato B9;tafOpgperiodeSlutdatoB9
Samlet skattpl. regulering brutto;af-samlet-skattpl-reg-brutto
Ægtefælle/samlever efterlevelsespension;af-aegtefaellesamlever-efterlevelsespension
B100B_Udbetalt;B100B_Udbetalt
Nettobeløb2 ukendt, da AIO ikke er kørt og Nettobeløb1 er uden regulering ;ab-nettobeloeb2-ukendt-aio-ej-koert-nettobeloeb1-uden-regulering
Nettobeløb2 ukendt, da AIO ikke er kørt og Nettobeløb1 er med regulering ;ab-nettobeloeb2-ukendt-aio-ej-koert-nettobeloeb1-regulering
ATP-ændring effektueres i dec., ingen regulering, og årsbrev er ikke udsendt;ab-atp-aendring-effektueres-dec-ej-regulering-aarsbrev-ej-udsendt
ATP-ændring effektueres i dec., regulering, og årsbrev er ikke udsendt ;ab-atp-aendring-effektueres-dec-regulering-aarsbrev-ej-udsendt
ATP-ændring effektueres i febr, ingen regulering, og årsbrev er udsendt;ab-atp-aendring-effektueres-febr-ej-regulering-aarsbrev-udsendt
ATP-ændring effektueres i febr, regulering, og årsbrev er udsendt;ab-atp-aendring-effektueres-febr-regulering-aarsbrev-udsendt
A-skat;af-askat
Trækprocent Disp.dato2;af-traekprocent-disp-dato2
Månedsfradrag;af-maanedsfradrag
TVarmetillaegsret i efterreguleringsåret;tabVarmetillaegsretIEfterreguleringsaaret
Trækprocent;af-traekprocent
EFR Efterbetaling skattepligtig for EFR år;ab-efr-efterbetaling-skattepligtig-for-efr-aar
EFR Efterbetaling skattefri for EFR år;ab-efr-efterbetaling-skattefri-for-efr-aar
EFR Anden efterbetaling skattepligtig;ab-efr-anden-efterbetaling-skattepligtig
tReguleringEFRDispDatoAfBevilgedeYdelser;tReguleringEFRDispDatoAfBevilgedeYdelser
EFR Anden efterbetaling skattefri ;ab-efr-anden-efterbetaling-skattefri
tReguleringEFRDispDatoAfEjBevilgedeYdelser;tReguleringEFRDispDatoAfEjBevilgedeYdelser
EFR Efterbetaling af SUPP/ATP på EFR disp.dato;ab-efterbetaling-efr-disp-dato-supp-atp
tReguleringEFRDispDatoAfAtpSupp;tReguleringEFRDispDatoAfAtpSupp
Gl FØP med overgangsregel;ab-gl-foep-med-overgangsregel
Forhøjet alm. FØP med overgangsregel;ab-forhoejet-alm-foep-med-overgangsregel
Mellemste FØP med overgangsregel;ab-mellemste-foep-med-overgangsregel
Højeste FØP med overgangsregel;ab-hoejeste-foep-med-overgangsregel
Gl FØP uden overgangsregel;ab-gl-foep-uden-overgangsregel
Forhøjet alm. FØP uden overgangsregel;ab-forhoejet-alm-foep-uden-overgangsregel
OP år til dato;af-op-aar-til-dato
OP førtidspension år til dato;af-op-foertidspension-aar-til-dato
Beskæftigelseskrav ikke godkendt for forrige år;ab-beskaeftigelseskrav-ej-god-forrige-aar
Sagen eksisterer og der er lavet afgørelse på udskudt pension;ab-sagen-eksisterer-og-der-er-lavet-afgoerelse-paa-udskudt-pension
Sagen eksisterer ikke i forvejen og der er ikke lavet afgørelse på udskudt pension;ab-sagen-eksisterer-ikke-i-forvejen-og-der-er-ikke-lavet-afgoerelse-paa-udskudt-pension
MB - Afslag seniorpension pga fortsat arbejdsevne?;mb-afslag-seniorpension-pga-fortsat-arbejdsevne
MB - Afslag seniorpension pga ikke langvarig tilknytning til arbejdsmarkedet?;mb-afslag-seniorpension-pga-ikke-langvarig-tilknytning-til-arbejdsmarkedet
MB - Afslag seniorpension pga borger ikke opfylder aldersbetingelsen?;mb-afslag-seniorpension-pga-borger-ikke-opfylder-aldersbetingelsen
MB - Afslag FØP pga behandlingsmuligheder?;mb-afslag-foep-pga-behandlingsmuligheder
MB - Afslag FØP pga fortsat arbejdsevne?;mb-afslag-foep-pga-fortsat-arbejdsevne
MB - Afslag FØP pga borger under 40 år?;mb-afslag-foep-pga-borger-under-40-aar
MB - Afslag på seniorførtidspension, søgt før 1.1.2020?;mb-afslag-paa-seniorfoertidspension-soegt-foer-1-1-2020
MF - Skriv 'speciallæge(r)' og/eller 'arbejdsmarkedskonsulent';mf-skriv-speciallaeger-og-eller-arbejdsmarkedskonsulent
MF - Skriv borgers bemærkninger eller 'Du er ikke kommet med bemærkninger';mf-skriv-borgers-bemaerkninger-eller-du-er-ikke-kommet-med-bemaerkninger
Tilbageførte kommunale serviceydelser;ab-tilbagefoert-kommunale-serviceydelser
OP Mdl.;af-op-mdl
OP Mdl. disp2;af-op-mdl-disp2
OP Procentsats;af-op-procentsats
tBV5;tBV5
Formue Pensionist - uudnyttet ejd.skat;af-formue-pensionist-uudnyttet-ejd-skat
Formue Samlever - uudnyttet ejd.skat;af-formue-samlever-uudnyttet-ejd-skat
Tilbagebetaling skat for en del af perioden;ab-tilbagebetaling-skat-for-en-del-af-perioden
Tilbagebetaling skat kun indeværende år ;ab-tilbagebetaling-skat-kun-indevaerende-aar
Beregnet skat større end indberettet skat;ab-beregnet-skat-stoerre-end-indberettet-skat
Hele det negative beløb trækkes i ventende positive effektueringer;ab-hele-det-negative-beloeb-traekkes-i-ventende-positive-effektueringer
En del af det negative beløb trækkes i ventende positive effektueringer;ab-en-del-af-det-negative-beloeb-traekkes-i-ventende-positive-effektueringer
Krav efter nedskrivning grundet ventende pos. effektueringer ;af-krav-efter-nedskrivning-grundet-ventende-pos-effektueringer
Skattepligtig negativ effektuering;ab-skattepligtig-negativ-effektuering
Skattefri negativ effektuering;ab-skattefri-negativ-effektuering
tReguleringAfBevilgedeYdelserNegativeBeloeb;tReguleringAfBevilgedeYdelserNegativeBeloeb
tReguleringAfBevilgedeYdelserNegativeBeloebEng;tReguleringAfBevilgedeYdelserNegativeBeloebEng
tReguleringAfEjBevilgedeYdelserNegativeBeloeb;tReguleringAfEjBevilgedeYdelserNegativeBeloeb
tReguleringAfEjBevilgedeYdelserNegativeBeloebEng;tReguleringAfEjBevilgedeYdelserNegativeBeloebEng
Skattepligtig negativ effektuering Supp Disp dato1;ab-skattepligtig-negativ-effektuering-supp-disp-dato-1 
Skattefri negativ effektuering Supp Disp dato1;ab-skattefri-negativ-effektuering-supp-disp-dato-1
tReguleringSuppDispDato1AfBevilgedeYdelserNegativeBeloeb;tReguleringSuppDispDato1AfBevilgedeYdelserNegativeBeloeb
tReguleringSuppDispDato1AfEjBevilgedeYdelserNegativeBeloeb;tReguleringSuppDispDato1AfEjBevilgedeYdelserNegativeBeloeb
tReguleringAtpDispDato1AfBevilgedeYdelserNegativeBeloeb;tReguleringAtpDispDato1AfBevilgedeYdelserNegativeBeloeb
tReguleringAtpDispDato1AfEjBevilgedeYdelserNegativeBeloeb;tReguleringAtpDispDato1AfEjBevilgedeYdelserNegativeBeloeb
Skattepligtig negativ effektuering ATP Disp dato1;ab-skattepligtig-negativ-effektuering-atp-disp-dato-1
Skattefri negativ effektuering ATP Disp dato1;ab-skattefri-negativ-effektuering-atp-disp-dato-1
tReguleringAfBevilgedeYdelserB102NegativeBeloeb;tReguleringAfBevilgedeYdelserB102NegativeBeloeb
tReguleringAfEjBevilgedeYdelserB102NegativeBeloeb;tReguleringAfEjBevilgedeYdelserB102NegativeBeloeb
tabSkattepligtigNegativEffektuering;tabSkattepligtigNegativEffektuering
tabSkattefriNegativEffektuering;tabSkattefriNegativEffektuering
Skattepligtig negativ effektuering næste år;ab-skattepligtig-negativ-effektuering-naeste-aar
Skattefri negativ effektuering næste år;ab-skattefri-negativ-effektuering-naeste-aar
B202_2_Negative_Beloeb ;B202_2_Negative_Beloeb 
B202_6_Negative_Beloeb;B202_6_Negative_Beloeb
B202_2_Eng_Negative_Beloeb ;B202_2_Eng_Negative_Beloeb 
B202_6_Eng_Negative_Beloeb;B202_6_Eng_Negative_Beloeb
EFR brevdato;af-efr-brevdato
Ingen indkomst OP;ab-ingen-indkomst-OP
Op Tilgode dødsfald;af-op-tilgode-doedsfald
OP Krav dødsfald;af-op-krav-doedsfald
Tilgode OP ved dødsfald;ab-tilgode-op-ved-doedsfald
Krav OP ved dødsfald;ab-krav-op-ved-doedsfald
